# energy_eV    eps2_arb    eps2_normalised
2.061718e+00 4.748101e+00 3.292679e-02
2.062969e+00 4.660222e+00 3.231737e-02
2.064220e+00 4.580322e+00 3.176329e-02
2.065471e+00 4.508125e+00 3.126262e-02
2.066722e+00 4.443405e+00 3.081380e-02
2.067973e+00 4.385983e+00 3.041560e-02
2.069224e+00 4.335731e+00 3.006711e-02
2.070475e+00 4.292566e+00 2.976778e-02
2.071726e+00 4.256454e+00 2.951735e-02
2.072977e+00 4.227414e+00 2.931597e-02
2.074229e+00 4.205515e+00 2.916411e-02
2.075480e+00 4.190884e+00 2.906264e-02
2.076731e+00 4.183705e+00 2.901286e-02
2.077982e+00 4.184233e+00 2.901652e-02
2.079233e+00 4.192790e+00 2.907586e-02
2.080484e+00 4.209784e+00 2.919371e-02
2.081735e+00 4.235709e+00 2.937349e-02
2.082986e+00 4.271166e+00 2.961937e-02
2.084237e+00 4.316870e+00 2.993632e-02
2.085488e+00 4.373674e+00 3.033024e-02
2.086739e+00 4.442584e+00 3.080811e-02
2.087990e+00 4.524786e+00 3.137816e-02
2.089241e+00 4.621673e+00 3.205004e-02
2.090492e+00 4.734879e+00 3.283510e-02
2.091743e+00 4.866317e+00 3.374658e-02
2.092994e+00 5.018214e+00 3.479995e-02
2.094245e+00 5.193166e+00 3.601320e-02
2.095496e+00 5.394175e+00 3.740714e-02
2.096747e+00 5.624691e+00 3.900570e-02
2.097998e+00 5.888642e+00 4.083613e-02
2.099249e+00 6.190432e+00 4.292896e-02
2.100500e+00 6.534883e+00 4.531764e-02
2.101751e+00 6.927092e+00 4.803750e-02
2.103003e+00 7.372127e+00 5.112369e-02
2.104254e+00 7.874495e+00 5.460748e-02
2.105505e+00 8.437256e+00 5.851007e-02
2.106756e+00 9.060669e+00 6.283328e-02
2.108007e+00 9.740272e+00 6.754614e-02
2.109258e+00 1.046442e+01 7.256792e-02
2.110509e+00 1.121161e+01 7.774949e-02
2.111760e+00 1.194839e+01 8.285884e-02
2.113011e+00 1.262924e+01 8.758038e-02
2.114262e+00 1.320018e+01 9.153969e-02
2.115513e+00 1.360696e+01 9.436060e-02
2.116764e+00 1.380684e+01 9.574669e-02
2.118015e+00 1.377997e+01 9.556036e-02
2.119266e+00 1.353534e+01 9.386390e-02
2.120517e+00 1.310817e+01 9.090160e-02
2.121768e+00 1.255020e+01 8.703224e-02
2.123019e+00 1.191748e+01 8.264448e-02
2.124270e+00 1.126041e+01 7.808785e-02
2.125521e+00 1.061830e+01 7.363505e-02
2.126772e+00 1.001823e+01 6.947371e-02
2.128023e+00 9.476460e+00 6.571667e-02
2.129274e+00 9.001059e+00 6.241990e-02
2.130525e+00 8.594511e+00 5.960059e-02
2.131776e+00 8.255860e+00 5.725214e-02
2.133028e+00 7.982289e+00 5.535500e-02
2.134279e+00 7.770160e+00 5.388395e-02
2.135530e+00 7.615658e+00 5.281252e-02
2.136781e+00 7.515165e+00 5.211562e-02
2.138032e+00 7.465470e+00 5.177100e-02
2.139283e+00 7.463937e+00 5.176037e-02
2.140534e+00 7.508688e+00 5.207071e-02
2.141785e+00 7.598841e+00 5.269590e-02
